ensembl_gene_id,external_gene_name
ENSAPEG00000020176,dpt
ENSAPEG00000008023,
ENSAPEG00000016355,TNNI2
ENSAPEG00000000453,mustn1b
ENSAPEG00000002023,s100a1
ENSAPEG00000020226,hspa1b
ENSAPEG00000013545,c1qtnf5
ENSAPEG00000021032,
ENSAPEG00000011137,PRKAB2
ENSAPEG00000012450,tcf3a
ENSAPEG00000002103,COL10A1
ENSAPEG00000010334,
ENSAPEG00000000580,mylpfa
ENSAPEG00000003645,MRC2
ENSAPEG00000006693,
ENSAPEG00000008236,
ENSAPEG00000009673,pvalb4
ENSAPEG00000020275,col1a1a
ENSAPEG00000000404,tcf7
ENSAPEG00000005499,myo1ca
ENSAPEG00000009181,loxa
ENSAPEG00000017655,col1a2
ENSAPEG00000018914,runx3
ENSAPEG00000016127,VAT1
ENSAPEG00000023977,
