replicate_ID,housing_tank_ID,experiment_day,exp_week,fish_type,fish_type2,aggression,submission,appetite,
21,A12,7,1,P,P1,NA,NA,NA,
21,A12,14,2,P,P1,NA,NA,NA,
21,A12,21,3,P,P1,NA,NA,NA,
21,A12,28,4,P,P1,NA,NA,NA,
21,A12,35,5,P,P1,NA,NA,NA,
19,A13,7,1,P,P1,NA,NA,NA,
19,A13,14,2,P,P1,NA,NA,NA,
19,A13,21,3,P,P1,7,0,32,
19,A13,28,4,P,P1,3,0,16,
19,A13,35,5,P,P1,3,0,32,
8,A14,7,1,P,P1,NA,NA,NA,
8,A14,14,2,P,P1,NA,NA,NA,
8,A14,21,3,P,P1,NA,NA,NA,
8,A14,28,4,P,P1,NA,NA,NA,
8,A14,35,5,P,P1,NA,NA,NA,
11,A25,7,1,P,P1,NA,NA,NA,
11,A25,14,2,P,P1,NA,NA,NA,
11,A25,21,3,P,P1,NA,NA,NA,
11,A25,28,4,P,P1,3,0,25,
11,A25,35,5,P,P1,0,0,28,
5,A31,7,1,P,P1,NA,NA,NA,
5,A31,14,2,P,P1,NA,NA,NA,
5,A31,21,3,P,P1,NA,NA,NA,
5,A31,28,4,P,P1,3,0,13,
5,A31,35,5,P,P1,2,0,17,
22,A34,7,1,P,P1,NA,NA,NA,
22,A34,14,2,P,P1,NA,NA,NA,
22,A34,21,3,P,P1,NA,NA,NA,
22,A34,28,4,P,P1,NA,NA,NA,
22,A34,35,5,P,P1,NA,NA,NA,
12,A35,7,1,P,P1,NA,NA,NA,
12,A35,14,2,P,P1,NA,NA,NA,
12,A35,21,3,P,P1,NA,NA,NA,
12,A35,28,4,P,P1,NA,NA,NA,
12,A35,35,5,P,P1,NA,NA,NA,
23,B12,7,1,P,P1,NA,NA,NA,
23,B12,14,2,P,P1,NA,NA,NA,
23,B12,21,3,P,P1,NA,NA,NA,
23,B12,28,4,P,P1,0,0,21,
23,B12,35,5,P,P1,0,0,18,
25,B14,28,4,P,P1,0,0,27,
25,B15,7,1,P,P1,NA,NA,NA,
25,B15,14,2,P,P1,NA,NA,NA,
25,B15,21,3,P,P1,NA,NA,NA,
25,B15,35,5,P,P1,0,0,23,
20,B22,7,1,P,P1,NA,NA,NA,
20,B22,14,2,P,P1,NA,NA,NA,
20,B22,21,3,P,P1,0,0,25,
20,B22,28,4,P,P1,0,0,12,
20,B22,35,5,P,P1,0,0,18,
6,B25,7,1,P,P1,NA,NA,NA,
6,B25,14,2,P,P1,NA,NA,NA,
6,B25,21,3,P,P1,NA,NA,NA,
6,B25,28,4,P,P1,0,0,14,
6,B25,35,5,P,P1,0,0,13,
14,B32,7,1,P,P1,NA,NA,NA,
14,B32,14,2,P,P1,NA,NA,NA,
14,B32,21,3,P,P1,NA,NA,NA,
14,B32,28,4,P,P1,NA,NA,NA,
14,B32,35,5,P,P1,NA,NA,NA,
13,B33,7,1,P,P1,NA,NA,NA,
13,B33,14,2,P,P1,NA,NA,NA,
13,B33,21,3,P,P1,NA,NA,NA,
13,B33,28,4,P,P1,NA,NA,NA,
13,B33,35,5,P,P1,NA,NA,NA,
24,B34,7,1,P,P1,NA,NA,NA,
24,B34,14,2,P,P1,NA,NA,NA,
24,B34,21,3,P,P1,NA,NA,NA,
24,B34,28,4,P,P1,NA,NA,NA,
24,B34,35,5,P,P1,NA,NA,NA,
28,C13,7,1,P,P1,NA,NA,NA,
28,C13,14,2,P,P1,NA,NA,NA,
28,C13,21,3,P,P1,4,0,20,
28,C13,28,4,P,P1,3,0,22,
28,C13,35,5,P,P1,0,0,19,
26,C21,7,1,P,P1,NA,NA,NA,
26,C21,14,2,P,P1,NA,NA,NA,
26,C21,21,3,P,P1,0,0,14,
26,C21,28,4,P,P1,0,0,24,
26,C21,35,5,P,P1,1,0,22,
4,C24,7,1,P,P1,NA,NA,NA,
4,C24,14,2,P,P1,NA,NA,NA,
4,C24,21,3,P,P1,NA,NA,NA,
4,C24,28,4,P,P1,1,0,13,
4,C24,35,5,P,P1,0,0,6,
27,C25,7,1,P,P1,NA,NA,NA,
27,C25,14,2,P,P1,NA,NA,NA,
27,C25,21,3,P,P1,NA,NA,NA,
27,C25,28,4,P,P1,NA,NA,NA,
27,C25,35,5,P,P1,0,0,14,
7,C31,7,1,P,P1,NA,NA,NA,
7,C31,14,2,P,P1,NA,NA,NA,
7,C31,21,3,P,P1,NA,NA,NA,
7,C31,28,4,P,P1,1,0,18,
7,C31,35,5,P,P1,0,0,31,
15,C32,7,1,P,P1,NA,NA,NA,
15,C32,14,2,P,P1,NA,NA,NA,
15,C32,21,3,P,P1,NA,NA,NA,
15,C32,28,4,P,P1,0,0,24,
15,C32,35,5,P,P1,1,0,21,
2,C34,7,1,P,P1,NA,NA,NA,
2,C34,14,2,P,P1,NA,NA,NA,
2,C34,21,3,P,P1,NA,NA,NA,
2,C34,28,4,P,P1,3,0,9,
2,C34,35,5,P,P1,4,0,7,
