,1S,10S,11S,13S,14S,15S,2S,20S,21S,23S,26S,3S,5S,6S,7S,1P1,10P1,11P1,13P1,14P1,15P1,2P1,20P1,21P1,23P1,26P1,3P1,5P1,6P1,7P1,1P2,10P2,11P2,13P2,14P2,15P2,2P2,20P2,21P2,23P2,26P2,3P2,5P2,6P2,7P2,pval.P1vsP2,padj.P1vsP2,pval.P1vsS,padj.P1vsS,pval.P2vsS,padj.P2vsS
hk1a,6.20517454372928,6.21776716895924,5.72137943237326,6.14804064152133,6.10642899891857,6.3947326498211,5.06679325593587,5.8724423070561,6.32440191588289,6.47419446733419,6.17360647984288,5.87350254621133,6.42726563166352,6.43735891169688,6.6762480863132,6.24650155586193,5.62329506424761,6.2799234639767,5.99069404275977,5.71101129004254,5.42684092767229,6.01267108475939,5.78603339135107,6.22959874730413,6.69702516445079,6.07663525080834,6.47135285925942,6.26105552269254,6.03430142618321,6.42991504957635,5.17572114743465,5.45623581408782,6.74979655523443,6.83974211662573,5.64229762462472,6.13097581957359,6.22399141545971,6.50536863610494,6.20102854205794,6.30998245063281,6.18687787161742,5.71901759993204,6.23555020812013,6.12252326488554,6.1152777588685,0.612686950615461,0.936562571433158,0.674450671240075,0.897796816309349,0.924966498812803,1
pkma,7.7108673618613,7.86705227100046,7.56777336845084,7.84037689502593,7.82140415137169,7.58886326697683,7.87482652350967,8.04215341534344,7.71245429243542,7.76519410625717,7.87109815124675,7.7376784600793,7.89971151897984,7.79143784565352,7.74762072289473,7.63737465335452,7.76583617174668,7.81408000579861,7.80448729479867,7.73716847518053,7.71227388853565,7.68593073810186,7.80989316339003,7.80377182660384,7.57528097848622,7.81608540456033,7.62786642146119,7.84956469402948,7.66574608372151,7.41203449835391,7.78337638518249,7.70351011449088,7.90673984966809,7.69073686031825,7.87804482849084,7.78126886315379,7.70454529621345,8.00549669674596,7.78261578063825,7.929850544361,7.90133942810863,7.72856658040555,7.75913212119595,7.68143043094558,7.87249059377746,0.0772635258401953,0.48968178806816,0.123196773201411,0.476270747241312,0.801807725480916,1
gpib,6.5032760153531,7.62384556642218,8.10967762262855,7.38762006749305,7.46512223418122,7.02508786725338,7.40897211127013,7.32994745106289,7.29350733545275,7.73989743732742,7.39672285600484,7.4149076055151,7.48457231826928,7.46868122926644,7.55972515275399,7.263384358393,7.3758175888588,7.41616454698004,6.86868548246349,7.56310634332442,6.96401219595962,7.48461417387618,7.31090015193034,7.42017808328132,7.4119774294846,7.66851240065482,7.77777448566916,7.73154205134642,7.4594351321111,6.97601714359393,7.33377816798597,7.26950016014172,8.12936677536944,7.2664844916081,7.30640082144384,6.64884600381798,7.41784138149839,7.40856479993156,7.49451379910323,7.50555883885957,7.73705342360046,7.37833873719054,7.16433273905013,7.34596629467061,6.87355404155776,0.913688909743944,0.988231675693637,0.580333337408794,0.858506748370798,0.654751227589827,1
hk1b,5.54621027217383,5.49315845221264,5.80875972234395,5.94103831588143,5.32016158558759,5.53858516142034,5.8553025733055,5.61600193454395,5.5205092379399,5.92370772443844,6.08952246670752,5.70723525889561,5.93500913048791,5.61060625511666,5.7274740222151,5.75958554987848,5.06719436633948,5.65080334429575,5.26139554759228,5.43800627363974,4.88694816419759,5.80852322549395,5.70289058119094,5.58679472443838,5.39032299541105,5.52725567332114,6.02712802009053,5.60225848618102,5.41508446850978,5.24239256549693,5.40338339260011,5.62034396754687,5.72951311393071,5.41263073529861,5.50717520141326,5.60657849506032,6.01664044716103,6.02457016808436,5.70389447198315,5.91774835777647,5.43058802561123,5.82247078635834,5.20002422845658,5.83208497670374,5.40390600515809,0.0981878472789255,0.535664251233147,0.0355827752117647,0.255372257071219,0.663875636248991,1
pgam1b,7.97554188152436,7.89314452376268,7.35986477134178,7.70285150765806,7.64276159243454,7.22202187066104,7.73161014401957,7.70173061241816,7.51848725422112,7.69228809247089,7.74749829058155,7.62663145155052,7.44061563419903,7.87511816691422,7.40577653548476,7.95374551229259,7.98548191487449,7.90382985112936,7.59591360119361,7.80349481455798,7.70543573360094,7.73231120396619,7.69709244006093,7.20324177956565,7.50095025363592,7.60969374159829,7.8824145998945,7.73632453184317,7.7729254731505,7.89267348142219,7.83701567228821,8.01278483309195,7.71400018213837,7.52748325491754,7.84162474099746,7.68041320832302,7.30905863828682,7.73995626700999,7.71812778121431,7.71092892461257,7.68310091532614,8.02181521737215,7.93398576755493,7.95183373357266,7.90911208604294,0.644707666006222,0.941777144148728,0.220449764456302,0.601707490478025,0.0862730155661844,1
pkmb,3.02693602941688,3.67332395094256,3.41674995133934,3.25606802874047,3.344263761235,3.31829578253599,3.18871690990712,3.50230287741695,3.64538055943535,3.22593264861353,3.25091174161203,3.20585055735891,3.74776493138214,3.33685627835659,3.390373569008,3.10638089109929,3.54445396678873,3.35386190417373,3.46674402080351,3.37279422497624,3.08098571726882,2.93987728936959,3.37370822937765,3.06791130337473,3.08648085413098,3.60627294438047,3.47709288324445,3.18017345992222,3.46127121868631,3.06669498571678,3.23950488983016,3.25034845044435,3.48898849342522,3.53665295284793,3.16120791935496,3.07557251553975,3.09815579657963,3.21208507801463,3.4584045260514,3.22222538337033,3.43651495841346,3.11541963467202,3.11719227433736,3.24635771587591,2.93285824997772,0.543422271939114,0.917866820862787,0.380184195394855,0.746026174539551,0.119593779615782,1
gpia,1.82860206375406,1.71335878704947,1.38751368827374,1.5636124165018,1.31533236182422,1.74706958597197,1.52878490702624,1.67760252309296,1.26947741422867,1.3497363617843,1.34055776397022,1.23529002954206,1.47460981211926,1.51406319514834,1.63406211693541,1.37552181176346,1.68452479362431,1.33842043163045,1.23631376871881,1.65265634977067,1.21867244541518,1.70715673292755,1.30706345885891,1.55103946575708,1.48217245332784,1.63736500528342,1.82672335265993,1.65669260133698,1.5724209291068,1.35901086622197,1.52294391922735,1.62174208696474,1.15746932776486,1.45706767035421,1.76553411172535,1.51957041327873,1.31356924168803,1.45438890719289,1.47839910123687,1.66774048096712,1.41423968980341,2.07208508869379,1.56391611483511,1.52638700575025,1.33516076318327,0.727370314196902,NA,0.89389749188353,0.974666970097982,0.821693821744788,1
hk2,4.97341416492069,4.7580710523917,4.77977218480118,4.9124863704697,5.21287744821743,4.32943837932693,4.7809609658572,4.25365120539739,4.04798949284802,4.43434235430083,4.51934649564196,4.94065381591732,5.08065808778937,4.93035425724311,4.95383815469378,5.17142822499835,5.11676677864449,4.67906220754481,5.06157737973503,4.70522989692923,5.25394628729062,5.1788967419407,4.68626736721192,4.41605070813923,4.46927628236649,5.11458405689774,4.50336554343533,5.21519412389418,4.74294414597433,4.48418999757409,4.67127618886132,5.30708064178579,4.65382189323036,4.76127683480877,4.99778022745219,4.71909109124037,4.95866820589652,4.54108540598027,4.63733222410645,4.59741092939091,4.78852229432241,4.81709659426975,5.20604393420802,4.71275693059596,4.91585429781191,0.915231796132582,0.988231675693637,0.374955682176134,0.743070609108177,0.428258666741391,1
eno1b,7.11490455429513,7.27014860593593,7.08516267987922,7.09564911304908,7.44339915767601,7.2480581229234,7.24785154304497,7.20311584174084,7.4363508712945,7.16781808679125,7.28823543990064,7.22643274043714,7.20727920305017,7.18273337764785,7.18903616928362,6.97290327813777,7.22547598114395,7.14341063014215,7.27886940024624,7.31275541010278,7.60767926061645,7.2124942294042,7.0520852646626,7.27852750490221,6.93351463016657,7.24165506359828,7.04410670000783,7.21591986349907,7.03883554218106,7.22945982409797,7.38021124736324,7.22657180417039,7.38275066579384,7.05998445354745,7.20608324111738,7.16799926576876,7.00897620131786,7.30402250535308,7.40410148997463,7.2970758673556,7.42094536722505,7.23594586076739,7.29774338386602,7.21279527795514,7.19487233431966,0.338173634975743,0.819611588049973,0.48260342358723,0.808218154177437,0.78519070765607,1
pfkmb,5.03236864443636,5.99065465880798,6.01291653732054,5.15015368083609,5.32465533426172,5.26231675741739,5.72731482690952,5.68059371353638,5.66571437371217,5.62213646459222,5.71466118538349,5.54182585806708,5.54456941370416,5.59344188217242,5.21960183317373,5.3792928836398,5.35340647403251,5.90854698211997,5.54761718799618,6.03064915492813,5.28387732701177,5.4144435937535,5.6030245065686,5.52252025769944,5.87812080760322,5.75464840713494,5.62676653861384,5.77630083742143,5.66752368719623,5.25239984710807,5.42821869042788,5.16095705307318,6.22912826516474,5.22639916854143,5.37216466810002,5.50654087656815,5.50433769366562,5.75794009581771,5.44448215681465,5.69460524267567,5.9225036278565,5.46413174519236,5.39549403208842,5.75234822768811,5.61888039136479,0.592367853687432,0.932559594857989,0.438356440750752,0.781650888610975,0.812120153141265,1
tpi1b,8.41196774624636,9.04149548058591,9.46793846139233,9.15101111091733,9.02970224403732,8.99535588003672,8.97704579968796,9.08569777075035,8.87879905236128,9.06906010291405,9.16753726138038,9.04665591651405,9.07673742770162,8.87246894991732,9.00523488167867,8.97649741441702,9.0734301683025,9.16539129003063,8.53733564677357,9.25903261413507,8.53913950521262,9.01736960134692,9.08811722234025,9.19047929062946,9.33297356624944,8.99900571369306,9.27341390417932,9.14929805439167,9.059963731195,8.71414231999214,8.97220645905643,9.01247771864125,9.39868369223209,8.8862922867177,8.9578449169722,8.738850937168,9.1018587284851,9.13427652910222,9.22177327729641,9.18400235909443,8.91945100878434,8.94299948976036,8.65267407072869,8.95361437361833,8.86075730993745,0.818504373825294,0.978947695076905,0.839027555841041,0.958898117177084,0.976269080502918,1
pklr,-1.53315162213588,-1.53724559951664,-1.54602037743109,-1.43418936280801,-1.34471720676292,-1.55841507078958,-1.53769554595836,-1.45505588638202,-1.55048672329232,-1.36359506212708,-1.55530179899813,-1.52998458764905,-1.43111267196106,-1.5402384147439,-1.43841236779522,-1.52497116135257,-1.52807416278186,-1.53408410083172,-1.52966395345662,-1.54568885516993,-1.53513259918548,-1.52454816361625,-1.54160318243549,-1.54860628038171,-1.52702385072616,-1.53536192688469,-1.53339202327535,-1.53238315148765,-1.53010780764711,-1.43160428716445,-1.53870523315008,-1.53776378350372,-1.45601483687216,-1.45258957418149,-1.55034984735814,-1.51926036876398,-1.44259574079064,-1.45305029499556,-1.54637927014112,-1.45648078005871,-1.54071736257536,-1.53176734970197,-1.5315940943697,-1.53811018659117,-1.43741450157039,0.470696728257764,NA,0.283989197488984,NA,0.737995114698703,1
gapdhb,9.15891556514421,9.34739686608442,9.47411049974347,9.04141930484585,9.15748271013952,9.35101798327635,8.68241080538017,9.64147527766988,9.54597305086878,9.21460693301298,9.65674846446705,9.17299967782419,9.46919929619313,9.22077300937923,9.28276623269381,9.06865224447321,8.97516477519399,9.24198833199346,8.5634316183142,9.20699478693459,7.9559160958252,8.9040965945382,8.75941891283205,9.10873863268777,9.45318926084537,8.9858883854176,9.21217256157467,8.89818856691279,8.85493461531235,9.03713482049985,8.65907400469367,9.19556495026825,9.37749117262817,9.31226187054257,9.07479950917517,8.59360924535393,9.6269059046655,9.81167059471271,8.78067287266024,9.42595424872392,9.32266492134806,9.11394988627014,8.89137188910326,9.47195310116474,9.09006085026641,0.0303734208074246,0.328093636387557,0.0045065272984114,0.0851056207583654,0.515204331482547,1
gapdhs,9.73617708045509,9.73493752805193,9.74388749223876,9.61748883325426,9.74043724894112,9.61927192520799,9.69654036660873,9.63848517053331,9.48806863501144,9.70578482029739,9.62074518986188,9.77396224933289,9.83985601000287,9.52837803284665,9.82237155359167,9.68575537470072,9.84243333740505,9.83820111050822,9.7752768891531,9.58561565079364,9.80353433934806,9.8669407938125,9.65304736552542,9.73267154791571,9.52387790531294,9.56919954848436,9.67039848864941,9.82678439042203,9.7796035715213,9.77274119696549,9.75323578518044,9.73614664966976,9.64051804581567,9.6750798857529,9.59722814310681,9.72444672975089,9.69816027217012,9.64706857370355,9.76554357749811,9.73518172962214,9.72772247864623,9.63625055470535,9.82597945292194,9.80205902774194,9.80058689160785,0.549399902023891,0.920821726896314,0.207618701421055,0.586406134785919,0.507783492036516,1
pfkma,5.63929461547572,7.38496967945378,7.06677546225085,6.29219474695645,6.83701262298115,6.00850356472526,6.77707547754238,6.36502762618307,6.46802030070559,6.79144483347463,6.75415470349907,6.71190035403802,6.94599246054957,6.77609452279088,6.50727662490808,6.69945832373381,6.71762789482515,6.75032074719755,6.31481114940301,6.87391801722799,6.11952715010844,6.42721800487184,6.24049645621197,6.36446521803815,6.43836396962978,6.73398726827602,7.21127335328785,6.95371239605732,6.57396097567338,6.16500742981673,6.48500404939507,6.80141704283926,7.12194536786027,6.45897080475289,6.54732491632736,6.2153049115418,6.75481897105263,6.71237689783926,6.33539997041925,6.666714638485,6.97701431632185,6.64393709798697,6.5566037842801,6.68794358321721,6.38202150979445,0.934995177700235,0.989717156622804,0.692925728884009,0.906602112673784,0.752041392545456,1
