,1S,10S,11S,13S,14S,15S,2S,20S,21S,23S,26S,3S,5S,6S,7S,1P1,10P1,11P1,13P1,14P1,15P1,2P1,20P1,21P1,23P1,26P1,3P1,5P1,6P1,7P1,1P2,10P2,11P2,13P2,14P2,15P2,2P2,20P2,21P2,23P2,26P2,3P2,5P2,6P2,7P2,pval.P1vsP2,padj.P1vsP2,pval.P1vsS,padj.P1vsS,pval.P2vsS,padj.P2vsS
idh3ab,5.88969419872961,6.27691699670326,6.40219393952594,5.64362698662036,6.14566717711622,5.80631479345302,6.09312010629926,5.7282762661782,5.9698739536501,5.93473576045944,6.16133875496975,6.0007921547065,5.99329829953795,5.93168162309404,6.24456999835347,5.87103808252601,6.26772364726611,5.98804671894302,5.56278612100651,5.95171059020647,5.83523402708469,5.85797756143598,5.64464829679781,6.05242208196455,5.96886176816107,5.62028224157646,5.9195200487428,5.93852070481572,5.60280564247055,5.9486979849614,6.22447119850477,6.13149072005883,6.268185759302,5.80209198999938,5.75489516720021,5.55376314031982,6.17399062441511,6.0806945389239,6.09611477839839,5.64804121272409,5.99374786801432,5.86193548057797,6.15629385771589,6.16308749237538,6.25199797512072,0.0753219543024769,0.484480260962335,0.0918647070820761,0.412548779364238,0.906238507291348,1
sdhaf2,7.45014445310458,7.67593141232302,7.73722547039381,7.36419211435503,7.49109521887228,7.20161567452395,7.95660245217768,7.18033857294689,7.69282247118526,7.65547996074552,7.97918774294107,7.89624516504355,8.17224442223628,7.45642999705992,8.02976805452648,7.78974900969348,7.53404503296462,7.30800471369657,7.36735772801661,7.2650232709585,7.22026813338396,7.97827585046764,7.35932481524987,7.52880210646271,7.4935985722703,7.52785377343044,7.50847418219683,7.54142883461665,7.7746998996763,7.07193742154086,7.63562629481205,7.62506533866509,7.69489599756795,7.33698497917082,7.27311305151252,7.19065123199381,8.0291354193828,7.73615007673157,7.45719946543038,7.48215985316422,7.70651846688557,7.54796533750681,7.66271717502696,7.90485738133929,7.42804525556243,0.285954415172396,0.788594299056056,0.071939147526963,0.370775549351916,0.467871232346491,1
fh,2.53823489003959,2.6537795452332,2.26955262768483,2.78069828685288,2.48229226113004,2.37125953125199,2.57619128741932,2.50631708645319,2.45897186258223,2.88006085747765,2.7609843595607,2.72429357151519,2.5776816087391,2.47706077918221,2.80470877966516,3.11766506574807,2.81717620795468,2.44655376395104,2.64996715805491,2.7005569260842,2.6742935531018,2.42793854465314,2.38609366776054,2.60833337231325,2.40989965319867,2.51916731340048,2.16874235785379,2.62500212363125,2.47840539649889,2.48676146079551,2.32386908094571,2.4169914817565,2.61879635832828,2.15654531753933,2.31570278198991,2.56448132506763,2.6950112724891,2.64983162659642,2.69327093623405,2.77843282970562,2.81512251965053,2.5501664374743,2.63224880610304,2.328278232486,2.60213451156123,0.874803383378811,NA,0.776962038650657,0.937835370982806,0.64699752479693,1
mdh1aa,9.89506466238614,10.088156318863,10.3691088378842,10.0030778428416,10.0675535301763,10.0796469242817,9.78778395258071,9.95224726504688,10.2231392421581,10.0445803524253,10.2142000343285,10.0861359132124,10.1579879357667,10.2402808888576,10.2155418497902,9.84293481136429,10.0339369369373,10.0421130102143,9.32276674017039,10.110875521009,9.22211922318324,10.0101431925769,9.7957434903021,9.97950511989871,9.82790149697988,9.85785646514897,9.79554741142449,9.87908186270742,9.67933471970173,9.66098853620662,9.9430589836525,9.97571011816317,10.216334467605,9.8918265050297,9.96103659546899,9.44599340414148,10.3561833099945,10.2550841510121,9.9901150224071,10.1351417995115,9.89386189140944,9.98431025605818,9.55326141992003,10.2427500809219,9.79317863396321,0.0114802732657423,0.207499832749959,0.000332294881992488,0.0209635989526003,0.300854915141407,1
suclg1,7.82126601530972,8.01989549692306,8.25201877832048,7.85213356318167,8.0720649791043,8.11518057169386,7.84425437427998,7.81420033118447,7.93732792502775,8.12471633386907,8.19773296414982,7.98992338648105,8.25021068755205,8.13616812353532,8.04872227006507,8.11826140506964,7.91534311072611,7.91418543805235,7.7324978735453,7.90144490622676,7.75495378401067,7.93992615298485,7.87248515337855,8.12409831608329,7.9782282892693,7.83084265942239,7.96059451194311,8.05184008898478,7.69956316097808,7.89496615904456,7.89876433713825,8.04805389096306,8.19097558572705,7.93334637375506,7.91038719764907,7.65672900986987,8.3441973955447,8.2063565004765,8.05258715074111,8.1866907995317,7.9861921331991,7.92431283686145,8.08532676912,8.15036590819656,8.02077809595629,0.00468145085769207,0.130085268809654,0.0252820603919801,0.219633148817159,0.522288967097809,1
dld,6.80164738597223,7.18063143951878,7.28243662603377,6.83123758990109,7.03318478223204,7.0913837483338,7.02755064425561,6.96389480667557,7.22986050215699,7.04753259478675,7.273323305117,7.17701280288531,7.14133703527263,6.83887516916143,6.9259506566838,6.9424526552406,7.15146274051143,7.05371723155694,6.65683428656973,7.1859576824777,6.77287955195012,6.99247262481866,6.88622586807957,7.15359828408289,7.07732577204487,7.14223445563991,6.89439649844956,7.12793244812195,6.91177259533907,6.76325221109545,7.05203945749162,7.04137603423138,7.34193992557365,7.02015845125115,6.78841246015487,6.83234825661497,7.21965624010778,7.28766804241144,7.0003436092136,7.14622675383415,7.08208196081949,7.06800191787307,7.04629428297331,7.22849688546048,7.00519073003934,0.10276918525259,0.543293144341206,0.298763079739236,0.681323349654208,0.530692097251336,1
idh2,8.48371709876338,8.9354982456362,9.02587616089338,8.66454060489645,8.91153848558154,8.71502456945333,8.95085034673614,8.8323171432287,8.86863376886788,8.94957857746377,9.2045733342503,8.78303644515518,8.90922395075132,8.88215031047077,8.99405457743156,8.89460293640276,8.76598801631871,8.96881503755218,8.49921814163028,9.01827549996906,8.65280202242332,8.80726189456846,8.733216970537,8.84546522659465,8.56425872755914,8.76042667811642,9.07785109901815,8.85607758411975,8.65389815556884,8.56092056652144,8.7590623750245,8.9053573243417,9.21530712982966,8.67299442293683,8.77557115257609,8.52271929106685,8.90461163550747,9.08484924241969,8.99183866099302,8.94312904946165,8.85315399179633,8.73719452991831,8.62919489178402,9.066545134979,8.60638139716128,0.293624719172038,0.792496773875726,0.199391066855978,0.578086041113448,0.824946811229654,1
idh3aa,3.14364165934435,3.03339212007046,3.67465873944809,3.16059294179633,3.00758898085431,2.94645593208066,2.89097147530465,3.27279373648972,2.76486506125633,3.38240732393711,2.71772226152931,2.80662325343867,3.43815964619953,2.93508633175879,3.04827538156231,3.16639421719408,2.90688844110406,3.13314125743712,2.9703610853395,3.00301805594646,3.05625903071895,2.76378290929172,3.04868888837042,3.36808557417368,2.74368552241605,2.75932425103225,3.37666548107492,3.01653203766396,2.80554166838502,2.72708182591293,3.14192972414074,2.65573636210391,2.85900510003549,3.11687180818488,2.95116596195865,2.98882248050327,3.34313532988434,3.53715020996052,2.73551413689094,3.41641952403975,3.17596606027444,3.02292193959374,2.70639019579758,3.0878665168606,2.91888435424441,0.611904639825774,0.936391128532132,0.390558517189955,0.751973851295429,0.72057295780881,1
ogdha,7.18196214527565,7.46111077903558,7.64087386626283,7.37419818068159,7.77798726612523,7.42808420256134,7.38074920794141,7.52551430880912,7.46290553107492,7.41379036384674,7.44733181539949,7.32155816769614,7.28853379984776,7.2982173673536,7.50098032424109,7.25244877992537,7.22522948639036,7.50309370099222,7.1939336138941,7.62299579489089,7.33731344581334,7.40115102191202,7.46974144508334,7.51515758861141,7.50321702542038,7.2429558723052,7.56930156606518,7.37978160002402,7.27341495458692,7.42696928357497,7.48696757965382,7.51733264727753,7.57879486139226,7.286098461384,7.46574782460056,7.27423455353483,7.26409173133856,7.55935068812763,7.60439827871913,7.5495832449136,7.54920618811806,7.27824588927061,7.40266938391873,7.53687558301712,7.44478775037295,0.457573034757473,0.886036093022767,0.643247043833587,0.884457562553938,0.768086510984059,1
suclg2,6.09180059095847,5.85689919119946,6.14588571014889,6.04411857301546,5.77875319925917,6.35619181688849,6.11582941588958,5.92819870293285,6.03598211641729,5.95522031553882,6.27357029891464,5.97628949133313,5.89378000634628,5.88094295954031,6.72251909870961,6.26573236490979,5.76137028458546,5.67405676212001,5.66687030341856,5.92139941443309,5.40470003573099,5.84684200760779,5.75913156253193,6.2292352135714,6.32545418962705,5.63038253712394,5.9625093683779,6.01412399395232,5.46417834290382,5.69996673788429,5.66985158618247,5.84721241478446,6.06268159366499,6.36351231210112,5.83262492187426,6.1063832809205,6.4212598696914,6.26646119608338,6.02311084796039,6.4659347776112,6.20548632378269,5.77667206881788,5.79947502079158,6.08089399883454,6.01360023401057,0.00713661971459512,0.165449938139727,0.0181687441038313,0.18435623974278,0.7076997782013,1
