gene_id	target_id
abcb11a	ENSAPEG00000019654
abcb11b	ENSAPEG00000007046
abcg5	ENSAPEG00000003332
abcg8	ENSAPEG00000003259
acot21	ENSAPEG00000007799
acox1	ENSAPEG00000002575
acox3	ENSAPEG00000011800
adoa	ENSAPEG00000014791
adob	ENSAPEG00000014044
akr1d1	ENSAPEG00000014744
amacr	ENSAPEG00000019173
atp8b1	ENSAPEG00000020090
cdo1	ENSAPEG00000019532
csad	ENSAPEG00000004314
cyp8b1a	ENSAPEG00000001979
cyp8b1b	NA
fmo5	ENSAPEG00000012136
hsd17b4	ENSAPEG00000020065
hsd3b7	ENSAPEG00000000658
scp2a	ENSAPEG00000002318
slc10a2	ENSAPEG00000023254
slc36a1	ENSAPEG00000002957
slc51a	ENSAPEG00000022975
slc6a13	ENSAPEG00000006432
slc6a6a	ENSAPEG00000010135
slc6a6b	ENSAPEG00000018572
