gene_id	target_id
ace2	ENSAPEG00000024611
slc15a1a	ENSAPEG00000022998
slc15a1b	ENSAPEG00000009672
slc15a2	ENSAPEG00000024226
slc15a4	ENSAPEG00000009344
slc1a1	ENSAPEG00000014778
slc2a2	ENSAPEG00000011553
slc2a5	ENSAPEG00000021245
slc2a5	ENSAPEG00000021287
slc43a2b	ENSAPEG00000023037
slc5a1	ENSAPEG00000008526
slc6a18	ENSAPEG00000001027
slc6a19	ENSAPEG00000000525
slc6a19	ENSAPEG00000000916
slc6a19	ENSAPEG00000000646
slc6a19	ENSAPEG00000000963
slc7a7	ENSAPEG00000006777
slc7a8a	ENSAPEG00000004897
slc7a8b	ENSAPEG00000019771
slc7a9	ENSAPEG00000002656
