gene_id	target_id
CRHa	NA
CRHb	ENSAPEG00000020537
CRHbpa	ENSAPEG00000004114
CRHbpb	ENSAPEG00000018513
CRHr1a	ENSAPEG00000009118
CRHr1b	ENSAPEG00000003526
CRHr2	ENSAPEG00000001221
cyp11a2	ENSAPEG00000020236
cyp11b2	ENSAPEG00000007279
cyp17a1	ENSAPEG00000001772
cyp21a2	ENSAPEG00000013574
fdx1	ENSAPEG00000015905
fdx2	ENSAPEG00000023232
fdxr	ENSAPEG00000019992
gr1	ENSAPEG00000018955
gr2	ENSAPEG00000017923
hsd11b1	ENSAPEG00000007702
hsd11b2	ENSAPEG00000000012
hsd3b2	ENSAPEG00000017764
mc2r	ENSAPEG00000006499
mr	ENSAPEG00000023891
pomcaa	ENSAPEG00000007378
pomcab	ENSAPEG00000010741
pomcb	ENSAPEG00000004234
star	ENSAPEG00000011532
star2	ENSAPEG00000019292
stard5	ENSAPEG00000000266
ucn3l	ENSAPEG00000005616
