gene_id	target_id
dio1	ENSAPEG00000005345
dio2	ENSAPEG00000016098
dio3a	ENSAPEG00000018645
dio3b	ENSAPEG00000023156
duox	ENSAPEG00000024019
hhex	ENSAPEG00000015177
klf9	ENSAPEG00000015963
med1	ENSAPEG00000015121
ncoa1	ENSAPEG00000011518
ncoa2	ENSAPEG00000021732
ncoa3	ENSAPEG00000024040
ncor1	ENSAPEG00000015934
ncor2	ENSAPEG00000008444
nkx2-1	ENSAPEG00000010034
pax2	ENSAPEG00000011773
pax8	ENSAPEG00000014668
sis	ENSAPEG00000004315
slc16a10	ENSAPEG00000003965
slc16a2	ENSAPEG00000010742
slc2a1a	ENSAPEG00000014516
slc2a1b	ENSAPEG00000023415
slco1c1	ENSAPEG00000015199
tg	ENSAPEG00000013372
tpo	ENSAPEG00000017867
TRaa	ENSAPEG00000019490
TRab	ENSAPEG00000005621
TRb	ENSAPEG00000007147
TRH	ENSAPEG00000016502
TRHra	ENSAPEG00000019950
TRHrb	ENSAPEG00000017589
TSHb	ENSAPEG00000001820
TSHr	ENSAPEG00000015803
ttr	NA
