gene_id	target_id
aacs	ENSAPEG00000013364
acat2	ENSAPEG00000022680
cyp51a1	ENSAPEG00000007764
dhcr24	ENSAPEG00000013406
dhcr7	ENSAPEG00000005512
ebp	ENSAPEG00000004537
fdft1	ENSAPEG00000003327
fdps	ENSAPEG00000004219
hmgcra	ENSAPEG00000013032
hmgcrb	ENSAPEG00000004677
hmgcs1	ENSAPEG00000014803
hsd17b7	ENSAPEG00000009585
idi1	ENSAPEG00000006388
lbr	ENSAPEG00000004329
lss	ENSAPEG00000004092
msmo1	ENSAPEG00000003085
mvd	ENSAPEG00000014842
mvk	ENSAPEG00000023137
nsdhl	ENSAPEG00000014255
pmvk	ENSAPEG00000012226
scda	ENSAPEG00000019881
scdb	ENSAPEG00000011667
sqle	ENSAPEG00000021928
tm7sf2	ENSAPEG00000009415
