gene_id	target_id
alk	ENSAPEG00000000606
apoda	ENSAPEG00000021492
apodb	ENSAPEG00000009485
csf1ra	ENSAPEG00000016423
ece2b	ENSAPEG00000019786
ednrb	ENSAPEG00000022287
fbxw4	ENSAPEG00000001006
fhl2a	ENSAPEG00000007116
fhl2b	ENSAPEG00000019836
foxd3	ENSAPEG00000011219
gart	ENSAPEG00000015076
gbx2	ENSAPEG00000007090
gmps	ENSAPEG00000020189
gpnmb	ENSAPEG00000018638
impdh1b	ENSAPEG00000007301
ltk	ENSAPEG00000021553
med12	ENSAPEG00000004577
mpv17	ENSAPEG00000013028
oca2	ENSAPEG00000018748
paics	ENSAPEG00000014620
pnp4	ENSAPEG00000021731
prkaca	ENSAPEG00000006139
si:ch211?256m1.8	ENSAPEG00000002724
sox10a	ENSAPEG00000013029
sox10b	ENSAPEG00000022921
sox9a	ENSAPEG00000003209
sox9b	ENSAPEG00000019202
tfap2a	ENSAPEG00000001801
trim33	ENSAPEG00000008852
