gene_id	target_id
adamts20	ENSAPEG00000008305
adrb2	ENSAPEG00000015923
apc2	ENSAPEG00000000976
atp6v0b	ENSAPEG00000024689
bcl2	ENSAPEG00000006352
bcl2l11	ENSAPEG00000000568
bloc1s6	ENSAPEG00000000384
bnc2	ENSAPEG00000013800
brsk2	ENSAPEG00000009703
cited1	ENSAPEG00000014902
creb1	ENSAPEG00000012724
dock7	ENSAPEG00000011337
ece1	ENSAPEG00000019405
eda	ENSAPEG00000013920
edar	ENSAPEG00000013412
edn3	ENSAPEG00000016340
egfr	ENSAPEG00000024805
en1	ENSAPEG00000023852
fgfr2	ENSAPEG00000024530
frem2a	ENSAPEG00000020681
fzd4	ENSAPEG00000016886
gata3	ENSAPEG00000017452
gli3	ENSAPEG00000011295
gna11	ENSAPEG00000023595
gnaq	ENSAPEG00000000924
gpc3	ENSAPEG00000008771
gpr161	ENSAPEG00000007822
hps1	ENSAPEG00000014624
hps4	ENSAPEG00000007040
hps6	ENSAPEG00000015323
hsd3b1	ENSAPEG00000017764
ikbkg	ENSAPEG00000017364
irf4	ENSAPEG00000004617
itgb1	ENSAPEG00000005468
lmx1a	ENSAPEG00000024149
lrmda	ENSAPEG00000010816
mbtps1	ENSAPEG00000023651
mcoln3	ENSAPEG00000012209
mef2c	ENSAPEG00000008324
mib1	ENSAPEG00000000381
mib2	ENSAPEG00000009595
myc	ENSAPEG00000012769
myo5a	ENSAPEG00000000564
nrg1	ENSAPEG00000013845
oprm1	ENSAPEG00000004468
psen1	ENSAPEG00000006847
rab27a	ENSAPEG00000013548
recql4	ENSAPEG00000005709
scarb2a	ENSAPEG00000012720
scg2a	ENSAPEG00000001314
sfxn1	ENSAPEG00000018239
snai2	ENSAPEG00000002983
sox2	ENSAPEG00000014838
tpcn2	ENSAPEG00000002855
usp13	ENSAPEG00000005859
vps18	ENSAPEG00000022883
wnt1	ENSAPEG00000002716
