gene_id	target_id
adam17a	ENSAPEG00000021451
adam17b	ENSAPEG00000019585
csf1ra	ENSAPEG00000016423
dct	ENSAPEG00000023785
ednrb	ENSAPEG00000022287
erbb3b	ENSAPEG00000016343
foxd3	ENSAPEG00000011219
gch2	ENSAPEG00000022541
gfpt1	ENSAPEG00000014907
gja5	ENSAPEG00000024446
hdac1	ENSAPEG00000019078
igsf11	ENSAPEG00000023934
impdh1b	ENSAPEG00000007301
kcnj13	ENSAPEG00000008008
kita	ENSAPEG00000015242
kitlg	ENSAPEG00000013833
mitfa	ENSAPEG00000022061
mitfb	ENSAPEG00000018693
mlph	ENSAPEG00000002873
mreg	ENSAPEG00000003942
mtrex	ENSAPEG00000019384
oca2	ENSAPEG00000018748
rnf41	ENSAPEG00000023047
sf3b1	ENSAPEG00000012937
slc24a5	ENSAPEG00000024833
slc45a2	ENSAPEG00000019199
sox10a	ENSAPEG00000013029
sox10b	ENSAPEG00000022921
sox18a	ENSAPEG00000004601
sox18b	ENSAPEG00000021397
sox9a	ENSAPEG00000003209
sox9b	ENSAPEG00000019202
tfap2e	ENSAPEG00000022240
trpm7	ENSAPEG00000000737
tyr	ENSAPEG00000017027
tyrp1	ENSAPEG00000023168
vps11	ENSAPEG00000014584
zic2	ENSAPEG00000004073
