gene_id	target_id
ankrd27	ENSAPEG00000015258
ap1g1	ENSAPEG00000011849
ap1m1	ENSAPEG00000022565
ap3b1	ENSAPEG00000003852
ap3d1	ENSAPEG00000023483
arcn1	ENSAPEG00000004324
bloc1s1	ENSAPEG00000010599
bloc1s2	ENSAPEG00000013118
bloc1s3	ENSAPEG00000015530
bloc1s4	ENSAPEG00000011070
bloc1s5	ENSAPEG00000001939
bloc1s6	ENSAPEG00000000384
cd63	ENSAPEG00000022873
dtnbp1	ENSAPEG00000011166
fig4	ENSAPEG00000005459
gpr143	ENSAPEG00000024242
hps3	ENSAPEG00000015313
hps5	ENSAPEG00000022457
kif13a	ENSAPEG00000009881
lyst	ENSAPEG00000024090
mlana	ENSAPEG00000013661
napb	ENSAPEG00000017211
nsf	ENSAPEG00000014802
pmela	ENSAPEG00000009250
pmelb	ENSAPEG00000016723
rabggta	ENSAPEG00000014384
snapin	ENSAPEG00000017134
th	ENSAPEG00000010338
trappc6a	ENSAPEG00000015505
txndc5	ENSAPEG00000001943
vps33a	ENSAPEG00000012896
vps39	ENSAPEG00000006546
