gene_id	target_id
arrb1	ENSAPEG00000021946
arrb2	ENSAPEG00000004849
arr3a	ENSAPEG00000016520
arr3b	ENSAPEG00000007909
cnga1a	ENSAPEG00000017400
cnga1b	ENSAPEG00000020527
cnga3a	ENSAPEG00000019486
cnga3b	ENSAPEG00000008425
cngb1a	ENSAPEG00000000040
cngb1b	ENSAPEG00000024185
cngb3.1	ENSAPEG00000009192
cngb3.2	ENSAPEG00000009214
eml1	ENSAPEG00000021817
gnat1	ENSAPEG00000002342
gnat2	ENSAPEG00000020489
gnb1a	ENSAPEG00000010469
gnb1b	ENSAPEG00000002653
gnb3a	ENSAPEG00000005255
gnb3b	ENSAPEG00000001566
gngt1	ENSAPEG00000017540
gngt2b	ENSAPEG00000007062
grk1aa	ENSAPEG00000022352
grk1ab	ENSAPEG00000007350
grk1b	ENSAPEG00000002861
grk7a	ENSAPEG00000013664
grk7b	ENSAPEG00000018410
guca1a	ENSAPEG00000019937
guca1b	ENSAPEG00000018546
guca1c	ENSAPEG00000012002
guca1d	ENSAPEG00000021077
guca1e	ENSAPEG00000016465
guca1g	ENSAPEG00000000231
gucy2d	ENSAPEG00000003026
gucy2f	ENSAPEG00000022661
pde6a	ENSAPEG00000002213
pde6b	ENSAPEG00000008147
pde6c1	ENSAPEG00000017542
pde6c2	ENSAPEG00000012464
pde6ga	ENSAPEG00000004545
pde6gb	ENSAPEG00000013124
pde6ha	ENSAPEG00000022337
pde6hb	ENSAPEG00000022345
pde6i	ENSAPEG00000000229
rcvrn1	ENSAPEG00000019946
rcvrn2	ENSAPEG00000009499
rcvrn3	ENSAPEG00000002962
rgs9a	ENSAPEG00000005653
rgs9b	ENSAPEG00000008097
slc24a1	ENSAPEG00000000154
