"","1S","10S","11S","13S","14S","15S","2S","20S","21S","23S","26S","3S","5S","6S","7S","1P1","10P1","11P1","13P1","14P1","15P1","2P1","20P1","21P1","23P1","26P1","3P1","5P1","6P1","7P1","1P2","10P2","11P2","13P2","14P2","15P2","2P2","20P2","21P2","23P2","26P2","3P2","5P2","6P2","7P2"
"cnga3a*",4.92698132697996,4.80096601210263,3.91830941234815,3.92157930686525,4.18981151271541,4.35307668229656,4.79356908879959,4.12876510845282,4.06932078956848,4.26028582048341,4.86723062576525,3.93704227832328,5.22119206532555,4.18278046401702,4.88028263827595,4.37157018508633,3.78295807843884,4.25595404419747,3.5454957032204,3.80012133396101,4.02365799397845,4.37715267214283,3.68237544464388,3.894804126716,3.96517419946072,4.02132939398437,4.74151380599997,3.91480885818239,4.07590717745243,2.99111280625292,5.42844686237766,4.4659879549687,4.03816298341119,3.76558167330773,4.07076922422702,3.85582762896291,4.86267137265097,4.69238677778107,4.89752810589229,5.33693165933942,3.68856754824947,5.20782607942347,4.0602058657462,5.08884202794995,3.51696997494348
"rgs9a**",4.80892897934708,4.00238467537814,4.48733191588687,4.47125486890987,4.96898486952229,4.24158286975927,4.21254531685295,4.12876510845282,4.06932078956848,4.38506278820245,4.41761131953264,3.76795122123654,5.36126689084303,4.63441622144292,4.63637423907026,3.98513189642629,4.09773139828882,4.25595404419747,3.9400519231994,4.28572010499118,4.02365799397845,4.26392996767909,3.83382343195266,3.894804126716,4.10915847222708,4.24044115963563,4.35963571439434,4.27686721890329,4.40316558436712,3.77516410305641,4.71896865526481,4.11061963683507,4.11816206586796,3.76558167330773,4.59516232298074,4.74333078017465,4.2749028255205,4.64364562225213,4.01987159497701,4.11468781072053,4.49664980906572,4.6999626384987,4.28667151357164,4.46116575595657,3.73078282989611
"grk1ab**",4.60719349233779,4.91057946061814,4.6059297733695,4.70185585628823,4.81707363746109,4.35307668229656,4.11136661360971,4.70731280256783,4.29749754974203,4.4968549791085,5.0742436070091,3.93704227832328,4.75086303955494,4.80705197382456,4.9343847639358,4.13180022996195,4.09773139828882,4.66381656176634,3.5454957032204,4.02688760241627,4.13975111429882,4.47955314515613,4.069312523398,4.08937567607796,4.62219636903713,4.7726949597786,4.26442670140947,4.05195481324055,4.40316558436712,3.94572612386596,4.83250034354683,4.67250124925747,5.04181724835504,4.65071478366997,4.69486848077379,3.60706343122516,4.2749028255205,5.25822336002961,4.11356512136977,5.22472832887905,4.07871776173984,4.6999626384987,3.92206857969386,4.53401132729928,3.73078282989611
"pde6a*",4.60719349233779,5.27362267211084,4.48733191588687,4.55335144796399,4.81707363746109,4.8567974163126,4.60870473051763,4.56308171091652,4.29749754974203,4.77866227944334,5.52779801726615,4.07721828575218,4.94820701531251,4.85954819569229,5.03609936229702,3.98513189642629,4.09773139828882,4.51803968556001,3.5454957032204,4.02688760241627,4.33703894961216,4.57334274573511,4.069312523398,4.32129960956709,4.4451156686069,4.24044115963563,4.44702647744609,4.46099340649003,4.19728663963146,3.54888835424641,4.71896865526481,4.7339661134413,5.00745004965463,4.74660919059713,4.87244356253796,4.04265991399121,4.18492322955467,5.31791632874699,4.01987159497701,5.36356442270476,4.34896897638807,4.55159317630135,4.55412684716997,4.89572959000089,3.51696997494348
"rcvrn1*",5.08561526959723,4.91057946061814,4.6059297733695,4.95319790566737,5.18771708510998,5.38268183511309,4.46693944883745,4.75174276233173,4.82812322829223,5.04154505423309,5.50497332396212,4.07721828575218,5.44710374550873,4.50345592373817,5.17500391939521,4.37157018508633,3.95510666240656,4.79357315558815,4.31093081914066,4.02688760241627,4.02365799397845,4.47955314515613,4.33750623908381,4.24981817486968,4.97537990642372,4.13718511529948,4.1593961344183,4.46099340649003,4.92147176878331,4.20958054746922,5.07791803113541,4.95288911190426,5.36989687989123,4.74660919059713,4.83040430229642,4.55540713084044,4.81010719830394,5.53318560619731,4.27714343291763,5.5821716361055,4.07871776173984,4.83191202920077,4.55412684716997,5.25679610981055,3.73078282989611
"gnat1*",4.45034436734266,5.73809187881872,4.6609611924497,5.11338813621295,5.62926238347211,5.2881796819371,4.38870939397914,5.1889803109849,4.69272081233824,5.2879071634049,5.594061618669,3.76795122123654,6.04431803346913,5.17622739507579,5.65023773621725,4.13180022996195,3.95510666240656,4.73044096456053,4.4091387668743,4.81778448839348,4.50305329466082,5.13870884921156,4.67344883580558,4.08937567607796,4.84601983361335,4.99528468668318,4.35963571439434,4.61878625061223,4.85976045092261,4.31857712961043,5.16426767467586,5.09522027216413,5.54317230947107,5.26718318392231,5.29150634878451,3.85582762896291,4.50609097913419,5.71896678900782,4.94072764105979,5.91880678518629,4.68725976467317,5.34069907155135,4.89588815745146,5.25679610981055,3.73078282989611
"gucy2d*",5.7399915448531,5.31265766966911,4.8122927337538,4.629953575391,5.01580674464804,4.74958209262363,5.41420358717795,5.51582297432494,5.0253186290549,5.25952405444839,5.69783082101829,4.57782713822867,6.22141206657888,5.17622739507579,5.55446502752362,5.29104502519941,4.60634174264047,5.20898780366294,4.4091387668743,4.28572010499118,4.13975111429882,4.95540173856715,4.67344883580558,4.45121810635288,4.62219636903713,4.33408600180364,5.26609229953675,4.99572250233304,5.09036931682432,4.08708075712182,5.78753585028379,5.13937105245179,5.28820195329296,4.49034042128103,4.59516232298074,5.23921532516822,5.46739551960369,5.76173645605826,5.17307506740075,5.97057381916812,5.12655151022381,5.49952280245314,5.25697585982539,5.50760637915036,4.34039842376495
"cnga3b**",5.61205026798311,5.49238618776762,4.90368612736588,5.21012662156735,5.8923025863588,5.38268183511309,4.79356908879959,5.27850145879179,5.06132869402561,5.2008614110351,5.48175810021875,4.07721828575218,5.90255405304538,5.13548677559858,5.52098649168947,4.73409254750094,4.60634174264047,5.06853385095191,4.66035134433818,4.95278914860606,5.18899269836071,5.01945876601812,4.33750623908381,4.56744083669483,4.97537990642372,4.42007960244198,5.26609229953675,4.94033895251053,4.92147176878331,4.66966755711952,5.55891514029358,5.04951030634535,5.49588793232338,5.20449876066507,5.26129678058078,5.11599426638114,4.96158148888843,5.67482739359841,5.20805242411958,5.5821716361055,4.85147873543134,5.2536139905988,4.47199604699542,5.47451411635699,4.34039842376495
"guca1b**",5.27077550749748,5.94656213531973,4.94699052387143,5.21012662156735,5.74055735897039,5.53358236097009,4.90284041763743,5.41547934008622,5.0253186290549,5.2008614110351,6.1963524355538,4.92360436101166,5.87238676044674,5.32763778757338,5.37812751142312,5.13080761148827,4.82845759287512,5.29491003911342,4.92916195678196,4.81778448839348,4.77642789299747,5.29935082669893,5.02530456996346,4.24981817486968,5.03541192520671,5.49718926331614,4.35963571439434,5.09976810907347,5.19180438253142,4.41727387023984,5.24526463478571,5.30244614704958,5.58886903848691,5.89305601825919,5.60920923414984,4.74333078017465,4.57352874639768,5.80322213162255,4.98249647828514,6.39184319929948,4.85147873543134,5.70756976955522,5.25697585982539,5.7468975254935,4.34039842376495
"cnga1b**",5.61205026798311,5.92214999470052,4.6609611924497,5.21012662156735,5.8435424164547,5.15971497137917,5.30378913171959,5.58649279636374,5.48294148806714,5.54285667420885,5.79432154426566,3.93704227832328,6.71769050985776,6.03659366102093,5.97807427774173,4.56710007007601,5.01651571324587,5.48823549869503,4.73331840900755,4.49201581588618,4.50305329466082,5.57217068579181,4.73032136993232,4.32129960956709,4.70152331656334,4.88894645990594,5.22225476985815,5.14880830892526,4.98029375513256,4.31857712961043,5.58966517632344,5.4476805812546,5.85373794994848,5.35598132156084,5.48577154243915,5.23921532516822,4.81010719830394,5.37504905000277,4.80636204472359,6.28762627788607,4.94994342263909,5.77045723944941,5.0097994341394,5.63246978853289,4.58148226422345
